mn,mvdol,mn_ufv,me,start_date,end_date,year
2.52,0.01,0.01,0.20,2015-01-08,2015-01-14,2015
2.21,0.01,0.01,0.18,2015-01-15,2015-01-21,2015
1.76,0.01,0.00,0.19,2015-01-22,2015-01-28,2015
1.84,0.01,0.01,0.19,2015-01-29,2015-02-04,2015
1.85,0.01,0.01,0.22,2015-02-05,2015-02-11,2015
2.04,0.01,0.01,0.24,2015-02-12,2015-02-18,2015
1.83,0.01,0.01,0.24,2015-02-19,2015-02-25,2015
1.80,0.01,0.00,0.26,2015-02-26,2015-03-04,2015
1.72,0.01,0.00,0.21,2015-03-05,2015-03-11,2015
1.61,0.01,0.00,0.23,2015-03-12,2015-03-18,2015
1.70,0.01,0.00,0.20,2015-03-19,2015-03-25,2015
1.81,0.01,0.01,0.22,2015-03-26,2015-04-01,2015
1.63,0.01,0.00,0.21,2015-04-02,2015-04-08,2015
1.59,0.01,0.00,0.23,2015-04-09,2015-04-15,2015
1.66,0.01,0.00,0.28,2015-04-16,2015-04-22,2015
1.39,0.01,0.00,0.39,2015-04-23,2015-04-29,2015
1.40,0.01,0.00,0.29,2015-04-30,2015-05-06,2015
2.18,0.01,0.00,0.32,2015-05-07,2015-05-13,2015
2.29,0.01,0.00,0.27,2015-05-14,2015-05-20,2015
2.48,0.01,0.00,0.18,2015-05-21,2015-05-27,2015
2.62,0.01,0.00,0.24,2015-05-28,2015-06-03,2015
2.21,0.01,0.00,0.19,2015-06-04,2015-06-10,2015
2.21,0.01,0.00,0.23,2015-06-11,2015-06-17,2015
2.09,0.01,0.00,0.21,2015-06-18,2015-06-24,2015
2.42,0.01,0.00,0.24,2015-06-25,2015-07-01,2015
2.48,0.01,0.01,0.27,2015-07-02,2015-07-08,2015
2.65,0.01,0.01,0.32,2015-07-09,2015-07-15,2015
2.50,0.01,0.01,0.32,2015-07-16,2015-07-22,2015
2.06,0.01,0.01,0.34,2015-07-23,2015-07-29,2015
2.24,0.01,0.01,0.31,2015-07-30,2015-08-05,2015
2.39,0.01,0.01,0.29,2015-08-06,2015-08-12,2015
2.43,0.01,0.01,0.31,2015-08-13,2015-08-19,2015
2.40,0.01,0.01,0.26,2015-08-20,2015-08-26,2015
2.37,0.01,0.00,0.30,2015-08-27,2015-09-02,2015
2.12,0.01,0.01,0.28,2015-09-03,2015-09-09,2015
